"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"578","009","Alimentación menores a cargo de cuidadoras","Codifica la ayuda con ese destino otorgada a los menores a cargo de las cuidadoras, asignada por Ley de Presupuesto 19355 19/12/2015 al Inciso 27""INAU""  en forma mensual en concepto de alimentación, que se ajustará trimestralmente de acuerdo al IPC según A229 L15903 de 10/11/1987."
"578","010","Hogar constituido - subsidio cargos de confianza","Por A4 Dto.398/989 de 24/08/1989 establece el monto del subsidio para los cargos de confianza, sin perjuicio de los beneficios sociales. Como el subsidio se paga como transferencia a unidades familiares (Obj Gto 575/001), se habilita auxiliar para el Hogar Constituído."
"578","012","Asist. integral-excepto medicament., téc. diag. y trat.-ASSE","Codifica la Asistencia Integral cuya asignación de crédito en los distintos Centros Hospitalarios por Presupuesto Nal. Ley 18719 (Ejercicios 2010 a 2015) en el Inciso 29 ""ASSE"" y se transfirió en cada ejercicio a la UE 087 ""Asistencia Integral"" (creada por A736 L18719).En este objeto de asistencia integral no deben incluirse medicamentos (obj.578 014) ni gastos en técnicas de diagnóstico y tratamiento(578 015). Sin asignación de crédito por Ley Pto. Nal. 19355 19/12/2015."
"578","013","Fallecimiento o incapacidad perm. 6 o 3 meses sueldo nom.","La Asesoría Técnico Jurídica de CGN, interpretó (ATJ 74/01) que las prestaciones en cuestión tienen clara naturaleza resarcitoria o reparatoria, se incluyó en auxiliar específico del Grupo 5, de acuerdo a lo establecido por el  A254 L13032 7/12/1961, para el Inciso 04""Ministerio del Interior"". Ley de Presupuesto 19355 19/12/2015 A181 suprime UE 025 y 030 y asigna en la UE 34 ""D.Nal. de Asuntos Sociales"" ."
"578","014","Medicamentos - Asistencia Integral ASSE","Codifica la Asistencia Integral - Medicamentos MSP, correspondiente al pago de medicamentos. Objeto del gasto que se asignó crédito a los distintos Centros Hospitalarios por Presupuesto Nal. Ley 18719 (Ejercicios 2010 a 2015) en el Inciso 29""ASSE"" y se transfirió en cada ejercicio a la UE 087 ""Asistencia Integral"" (creada por A736 L18719).  Sin asignación de crédito por Ley Pto. Nal. 19355 19/12/2015."
"578","015","Técnicas de diagnóstico y tratamiento - Asist. Integral ASSE","Codifica la Asistencia Integral - Técnicas de diagnóstico y tratamientos. Objeto del gasto que se asignó crédito a los distintos Centros Hospitalarios por Presupuesto Nal. Ley 18719 (Ejercicios 2010 a 2015) en el Inciso 29""ASSE"" y se transfirió en cada ejercicio a la UE 087 ""Asistencia Integral"" (creada por A736 L18719).  Sin asignación de crédito por Ley Pto. Nal. 19355 19/12/2015."
"578","017","Reintegro gastos sepelio","Según A144 L12802 de 30/11/60 autoriza a costear servicios fúnebres para el sepelio de funcionarios fallecidos en acto directo de servicio, con cargo a las economías del presupuesto de los respectivos ministerios. Inciso 04 ""MInterior"" UE 034 ""Dir. Nal. de Asuntos Sociales""."
"578","019","Contribución ANEP a docentes p/compra computadora P.Ceibal","Dto 144/07 A.4 Se encomienda al LATU la implementación tecnica y operativa del proyecto .A  3 Comisión propondrá politicas apliclablea al proyectoy acordará acciones para que en 2009 todos los escolares y maestros(anep amplia a docentes) de escuelas publicas del pais hayan recibido un computador portátil."
"578","020","Subsidio transitorio por incapacidad parcial-MI","Por A10 L18405 24/10/2008 se define un subsidio transitorio por incapacidad parcial a los funcionarios policiales en actividad en el cumplimiento de sus funciones, equivalente al 65% del sueldo básico de retiro según A20 y 22 de la citada ley. No lleva Aguinaldo. Objeto del gasto asignado por Ley de Presupuesto 19355 19/12/2015 para el Inciso 04=MInterior"
"578","021","Ayuda alimentaria pensiones no contrib. p/ vejez o invalidez","Clasifica la Ayuda Alimentaria a beneficiarios de las pensiones no contributivas por vejez o invalidez (A43 L16713 3/09/1995) y por Dto. 191/012 8/06/2012 el INDA (Inciso 15 ""MIDES"" UE 003) entregará una prestación mensual por dicho concepto."
"578","022","Hogar constituido (viudas, hijos/otro fam. menor cargo etc.)","Clasifica el Hogar Constituído como el beneficio de funcionarios policiales fallecidos o incapacitados en forma permanente, en actos del servicio propio de la función policial activa, que se liquidarán a quienes integraban el núcleo familiar, a sus hijos y otros familiares menores a su cargo o al propio funcionario, según  A14 L13793 24/11/69."
"578","023","Subsidio a monotributistas MIDES COVID-19"," Ley N° 19877
En 2020 este subsidio lo paga INEFOP.
En el ejercicio 2021 se recodificó su nombre a Subsidio monotributista MIDES, ya que en este ejercicio sale por el Fondo general.
Solicitado en mail de fecha 25/05/2021
"
"578","024","Asignaciones Familiares-Plan de Equidad (AFAM-PE)-COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"578","025","Tickets alimentación COVID-19","Codifica los gastos ocasionados por la Pandemia del COVID 19.Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"578","026","Subsidio por desempleo COVID-19","Corresponde a las erogaciones realizadas por Subsidio por desempleo  a los trabajadores comprendidos, en virtud de la Pandemia mudial por COVID-19"
"578","027","Subsidio por enfermedad COVID-19","Corresponde a las erogaciones realizadas por Subsidio por enfermedad a los trabajadores comprendidos, en virtud de la Pandemia mudial por COVID-19"
"578","028","Pago especial construcción COVID-19","Corresponde al pago de la partida extraordinaria a los trabajadores de la construcción, que posteriormente es financiada en cuotas por aportes de las empresas, un día de licencia del trabajador y un día de salario vacacional, hasta llegar al 70%.
Se financia entre el patronal, el trabajador y el Estado."
"578","029","Extensión extraordinaria al amparo del SNIS COVID-19","Extensión del SNIS decreto 217/020. Se extendió la cobertura a personas que finalizó el seguro de desempleo."
"578","030","Beneficios para Servicio Fúnebre","A.11 L.12802 crea el Fondo de Tutela Social. Dto 326/84 Art 1 aprueba su reglamentación. Dto 470/90 aprueba reglamento de organización y funcionamiento del Servicio de Tutela social de las FFAA. Art 2 reglamenta las condiciones de realización de los Servicios Fúnebres para los beneficiarios del Fondo de Tutela Social."
"578","031","Beneficios en área de Ancianidad","A.11 L.12802 crea el Fondo de Tutela Social. Dto 326/84 Art 1 aprueba su reglamentación. Dto 470/90 aprueba reglamento de organización y funcionamiento del Servicio de Tutela social de las FFAA. Art 6 establece que de haber remanentes luego de atender los fines primarios se podrán utilizar en el mejoramiento del bienestar social de los beneficiarios del Fondo en las siguientes areas, Ancianidad, Minoridad,recreación y Apoyo a la Salud."
"578","032","Beneficios en área de Minoridad","A.11 L.12802 crea el Fondo de Tutela Social. Dto 326/84 Art 1 aprueba su reglamentación. Dto 470/90 aprueba reglamento de organización y funcionamiento del Servicio de Tutela social de las FFAA. Art 6 establece que de haber remanentes luego de atender los fines primarios se podrán utilizar en el mejoramiento del bienestar social de los beneficiarios del Fondo en las siguientes areas, Ancianidad, Minoridad,recreación y Apoyo a la Salud."
"578","033","Beneficios en área de Recreación","A.11 L.12802 crea el Fondo de Tutela Social. Dto 326/84 Art 1 aprueba su reglamentación. Dto 470/90 aprueba reglamento de organización y funcionamiento del Servicio de Tutela social de las FFAA. Art 6 establece que de haber remanentes luego de atender los fines primarios se podrán utilizar en el mejoramiento del bienestar social de los beneficiarios del Fondo en las siguientes areas, Ancianidad, Minoridad,recreación y Apoyo a la Salud."
"578","034","Beneficio en área de Apoyo a la Salud","A.11 L.12802 crea el Fondo de Tutela Social. Dto 326/84 Art 1 aprueba su reglamentación. Dto 470/90 aprueba reglamento de organización y funcionamiento del Servicio de Tutela social de las FFAA. Art 6 establece que de haber remanentes luego de atender los fines primarios se podrán utilizar en el mejoramiento del bienestar social de los beneficiarios del Fondo en las siguientes areas, Ancianidad, Minoridad,recreación y Apoyo a la Salud."
"578","035","Beneficio para Indemnizaciones","A.11 L.12802 crea el Fondo de Tutela Social. Dto 326/84 Art 1 aprueba su reglamentación. Dto 472/90 extiende los beneficios proporcionados por el Fondo de Tutela Social.
Art 1 aprueba la reglamentación de ayuda a proporcionar por el Servicio de Tutela Social de las FFAA en caso de daños materiales imprevisibles causados bajo circunstancias especiales."
"578","036","Transferencia ANCAP-Reducción precio de garrafas supergas","Art 2 L.20051 Autoriza al Poder Ejecutivo a transferir desde Rentas Geberales a ancap HASTA $ 468.000.000 a efectos de financiar las reducción de ´precio de venta al público del supergás por kilo.
La reducción referida será de un 50% del precio de venta al público para los beneficiarios de los planes del MIDES, y se extenderá desde el 1/06/2022 al 30/09/2022, pudiéndose prorrogar por unica vez el plazo señalado."
"578","037","Pasivos - Emergencia Hídrica","Codifica la asignación realizada para atender las necesidades de compra de agua embotellada en el marco de la situación de Emergencia Hídrica producida en nuestro país en 2023."
"578","097","Canasta fin de año","Partida anual única para los Incisos del 02 al 15, para los funcionarios de los Escalafones A,B,C,D,E,F,J,K,L y R de acuerdo a escalas establecidas en el A27 L18172 30/08/2007- Rendición de Cuentas 2006."
"578","098","SICE-Gastos Promoción y Bienestar Social VsSinDiscr/EMP.Púb.","Partida de ""Gastos Promoción y Bienestar Social"" asignada por Ley de Presupuesto 19355 19/12/2015 en el Inciso 12 ""MSP"" UE 001."
"578","099","Gastos Promoción y Bienestar Social VsSin Discr./EMP.Púb.","Clasifica la partida p/ ""Gastos de Promoción y Bienestar Social"" asignada p/ L. de Presupuesto 19.355 de 19/12/2015. El A. 36 L. 17.930 de19/12/2005, permite a los Inc. de la Administración Central a utilizar economías de gastos de funcionamiento en el ejercicio siguiente, con justificación fundada ante MEF y OPP. Contingente p/Inc. 03-MDN, todas las U. Ejecutoras. Ej. 2024, Res. 012746 de 14/12/2023."
"579","000","Otras transferencias a unidades familiares","Clasifica el Objeto del Gasto asociado a otras prestaciones a largo plazo, no incluídas en las anteriores. Por Ley de Presupuesto Nacional 19355 19/12/2015 se asignó a los Incisos 11  ""MEC"" Unidades Ejecutoras 001, 003 ""Dir.Nal Cultura"",024 ""Serv. Com Audiovisual Nal"", e Inciso 14 ""MVOTyMA"" UE 001."
"579","001","Contribución deportiva, artística, cultural y atención salud","Clasifica las prestaciones a largo plazo o contribuciones a unidades familiares de carácter deportivo, artístico, cultural y de atención en salúd, asignada por Ley de Presupuesto 19355 19/12/2015 en los Incisos 11 ""MEC"" y 12""MSP"".."
"579","006","Beneficio en especie","Clasifica un tipo particular de Transferencias a Unidades Familiares, requieren identificación para análisis y control. (alimentos, etc.), asignada por Ley de Presupuesto Nacional 19355 19/12/2015 en los Incisos 07 ""MGAP"", 15""MIDES"" en  proyectos varios, ej 103 ""Apoyo Alimentario"" y 133 ""Uruguay Crece Contigo"" y 18 ""Corte Electoral"". Contingente p/Inc. 07, todas las Unidades Ejecutoras. Ej. 2024, Res. 012746 de 14/12/2023."
"579","007","Distribución de producido decomisos","Clasifica el producido de la comercialización de decomisos (mercadería incautada en presunta infracción aduanera), cuya distribución estará sujeta a lo establecido por el A202 L16170 28/12/1990 y no tendrán naturaleza salarial."
"579","008","Reparatoria p/vivienda func.policial fallecido acto servicio","La Asesoría Técnico Jurídico de la CGN, interpretó (ATJ 74/01) que las prestaciones en cuestión tienen clara naturaleza resarcitoria o reparatoria, por lo que debieron ser incluidas en auxiliares específicos del grupo 5.  A145 L14106 14/03/1973."
"579","009","Asistencia cobertura temporal de transporte","Codifica el gasto por prestación de dinero $ 260 que se le otorgará por unica vez a jubilados, pensionistas de sobrevivencia,pensionistas a la vejez y pensionistas por  invalidez, cuya prestación no supere los $ 11.637. Decreto 253/2016.Crédito en el Inciso 22/022.El monto adjudicado corresponde a una parte de lo obtenido en sentencia favorable al estado Uruguayo que debe abonar la Compañía Philip Morris."
"579","013","Ingreso Ciudadano","Clasifica la prestación en dinero por hogar en los términos definidos por el A4  L17869 20/05/2005, Dto.176/005 de 23/5/2005. Se actualiza cuatrimestralmente por el IPC."
"579","014","Subsidio boletos estudiantes - Interior/Area Metropolitana","Codifica la partida destinada a la promoción y desarrollo del transporte interdepartamental de pasajeros, con fin social (área metropolitana e Interior)  y se asigna por Ley de Presupuesto 19355 19/12/2015 al Inciso 10"" MTOP"", UE 007 ""Dirección Nacional de Transporte"", de acuerdo a lo establecido por A218 L17930 de 19/12/2005. Contingente p/Inc. 10, UE 007. Ej. 2024, Res. 012746 de 14/12/2023."
"579","019","Mesadas - INAU","Clasifica la partida para del pago de ""Mesadas"" a adolescentes de entre 15 y 18 años de edad que se encuentran en hogares oficiales en régimen de tiempo completo (24 horas), para gastos recreativos. Plan piloto aprobado por Directorio del INAU por Resolución Nª 1243/09."
"579","020","Premios al Reconocimiento Funcional-Policial","El  A1 Dto.336/997 9/09/1997 crea el Premio al ""Reconocimiento Funcional"" para funcionarios policiales(Personal Subalterno y Personal Superior), vinculado a determinadas actitudes positivas con la función, establecidas en el A2. Los montos de los premios podrán incrementarse hasta 15 sueldos cuando el Ministro lo estime oportuno, según A1 Dto.303/999 28/09/1999."
"579","021","Tarjeta alimentaria a hogares c/ingresos menores a 1.25 CBA","Clasifica la partida por concepto de tarjeta alimentaria a hogares con ingresos menores a 1.25 de la Canasta Basica Alimentaria, asignada por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inc.15 = MIDES y Proy 103 ""Apoyo Alimentario"". Orígen de la partida por A617 L18719 27/12/2010. Por Resolución MIDES del 27/05/2016 se rescinde contrato con Conaprole y pasa a pagarse cada kg de leche fortificada a través de la Tarjeta Uruguay Social; autoriza trasposiciones del Obj.Gto 579/022."
"579","022","Licitación leche fortificada en hierro","Clasifica la partida por concepto de carga de la tarjeta alimentaria para la leche fortificada en hierro, asignada por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inciso 15 = MIDES, Proyecto 103 ""Apoyo Alimentario"" (Pago a Conaprole).
Por Resolución MIDES del 27/05/2016 se rescinde contrato con Conaprole y pasa a pagarse cada kg de leche fortificada a través de la Tarjeta Uruguay Social; y autoriza trasposiciones al Obj.Gto 579/021."
"579","023","Transferencia a INAU p/desempeño de Niños Cantores","Clasifica la transferencia del MEF DNL y Q a INAU por Convenio Institucional de fecha 12 de agosto de 2008, en el que se acuerda contratar adolescentes del INAU para desempeñar tareas de niños cantores, asignada por Ley de Presupuesto Nacional 19355 de 19/12/2015 en el Inc.05 UE 008 en financiación 12. Se tomará como referencia el valor establecido por ley para las becas. Resolución MEF según expediente 12/05/001/60/45."
